 Relative LCC Corales Punta Maroma,,,,,,,,,,,,,,,,,,
,FR_1_1979,FR_2_1979,FR_3_1979,FR_4_1979,FR_5_1979,HGC_1_1979,HGC_2_1979,HGC_3_1979,HGC_4_1979,HGC_5_1979,FR_1_1985,FR_2_1985,FR_3_1985,FR_4_1985,HGC_1_1985,HGC_2_1985,HGC_3_1985,HGC_4_1985
AAGA,1.29,0.52,0.72,0.91,2.86,0.57,0,0.65,0,1.29,0.41,0,6.01,1.64,1.23,1.23,3,0
ACER,8.48,2.34,4.89,7.15,4.55,2.44,1.3,0,0,0,2.18,2.05,0,2.46,0,1.09,0,4.91
APAL,7.04,5.59,2.73,6.37,9.1,0,0.13,0,0,0,0,12.29,8.19,23.34,0,0,0,0
ATEN,1.29,1.56,0,5.98,2.34,0,0,0,0,0,0,8.05,30.03,6.96,0,0,0,0
CNAT,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
DCYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64
DLAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.09,0,1.91
DSTO,0,0,0,0,0,0.72,0.52,0.65,0.72,0.29,0,0,0,0,0,0.41,1.91,0.55
IRIG,0.57,3.9,0,0,0,0,0,0,0,0.14,0,0,0,0.55,0,0,0.68,0
MCAV,0.72,0.26,0,0,0,4.74,0,7.28,1.44,6.18,0,0,0,0,7.1,5.05,2.18,9.15
MMEA,0,0,0,0,0,2.73,0,0,0,0.43,0,0,0,0,0,0,0.82,1.09
OANN,3.3,0,0,1.95,0.78,0,1.95,0,0,0.57,3.41,0,0,5.32,12.56,7.1,4.91,0
PAST,0,0,0.86,0.39,0,0,0,0,0,0.72,0.96,0.41,3,5.87,2.32,3.55,0.96,0
PCLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,1.09,1.09
PFUR,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
PPOR,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,1.09,0,0
PSTR,0,0,0,0,0,2.16,0,0,1.58,1.01,0,0,0,0,0,1.37,1.23,0
SBOU,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
SINT,0.72,0,0,0,0,1.72,0.65,0.39,0.29,0,0,0,0,0,0,0,0,0.27
SRAD,0.14,0,0,0,0.26,0,0,0,1.72,0,4.23,0,0,0,0.27,0,0,0
SSID,1.01,0,0,0.26,0,1.87,2.99,0.13,0,1.15,0,4.1,1.09,0,0.14,0.41,0.82,3.55
