Abundancia Actual PUMA,,,,,,,,,,,,,,,,,,,,
,HGC_N_1,HGC_N_2,HGC_C_3,HGC_C_4,HGC_C_5,HGC_S_6,HGC_S_7,HGC_S_8,FR_N_9,FR_N_10,FR_N_11,FR_N_12,FR_N_13,FR_N_14,FR_S_15,FR_S_16,FR_S_17,HGC_C_18,HGC_C_19,FR_C_20
AAGA,11,17,18,50,34,12,29,37,15,7,12,11,0,7,5,8,3,13,15,18
ACER,0,0,1,0,3,1,0,0,0,0,0,0,0,0,6,5,2,0,0,0
AFRA,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
AHUM,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0
ALAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
APAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
APRO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CNAT,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DLAB,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSTO,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FFRA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HCUC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRIG,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCAV,9,15,2,14,10,3,2,11,0,1,0,0,0,0,2,0,0,7,4,0
MLAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMEA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
OANN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFAV,2,1,4,6,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1
PAST,17,14,24,18,17,5,6,3,32,32,58,59,109,58,27,4,16,5,7,8
PDIV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PFUR,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0
PPOR,3,8,3,1,6,6,14,6,3,3,4,1,0,0,15,1,9,0,1,4
PSTR,7,6,2,0,4,3,2,5,0,1,0,1,0,0,1,0,0,3,2,2
SBOU,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SINT,4,1,1,3,2,0,0,1,2,1,4,0,0,6,1,0,0,1,2,0
SRAD,0,0,0,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,0,0
SSID,17,9,28,14,14,8,14,4,14,7,6,3,4,3,12,9,8,3,9,2
ATEN,13,16,0,0,0,0,0,0,11,7,6,13,2,4,0,0,0,0,0,7
